Installs,Install Day,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 10,Day 14,Day 18,Day 21
1686,2020-12-14,0.265,0.362,0.424,0.475,0.527,0.562,0.597,0.628,0.700,0.803,0.888,0.939
1646,2020-12-12,0.250,0.365,0.428,0.480,0.525,0.563,0.600,0.637,0.720,0.812,0.911,0.969
1546,2020-12-13,0.305,0.418,0.486,0.540,0.585,0.628,0.672,0.711,0.791,0.906,1.003,1.062
1292,2020-12-15,0.249,0.343,0.404,0.457,0.502,0.535,0.563,0.588,0.654,0.755,0.835,0.877
1227,2020-12-17,0.233,0.318,0.370,0.402,0.434,0.462,0.485,0.508,0.570,0.651,0.699,0.728
1169,2020-12-16,0.235,0.330,0.393,0.438,0.477,0.510,0.538,0.560,0.620,0.710,0.772,0.811
1132,2020-12-18,0.257,0.362,0.429,0.474,0.518,0.548,0.572,0.592,0.656,0.724,0.775,0.811
1090,2020-12-20,0.249,0.337,0.381,0.419,0.450,0.484,0.526,0.568,0.652,0.737,0.793,0.836
1057,2020-12-19,0.267,0.378,0.435,0.486,0.525,0.559,0.592,0.621,0.728,0.807,0.862,0.905
826,2020-12-21,0.247,0.321,0.369,0.409,0.439,0.478,0.520,0.557,0.649,0.745,0.806,0.845
787,2020-12-11,0.234,0.354,0.424,0.487,0.529,0.576,0.615,0.648,0.719,0.798,0.869,0.920
559,2020-12-10,0.225,0.335,0.396,0.461,0.501,0.530,0.562,0.581,0.659,0.760,0.845,0.898
523,2020-11-10,0.226,0.347,0.421,0.475,0.534,0.572,0.612,0.647,0.746,0.869,0.948,1.008
520,2020-11-07,0.213,0.295,0.346,0.386,0.419,0.444,0.473,0.508,0.588,0.670,0.734,0.776
482,2020-12-08,0.209,0.287,0.347,0.395,0.439,0.477,0.509,0.535,0.605,0.676,0.739,0.792
474,2020-11-11,0.242,0.358,0.429,0.485,0.534,0.576,0.611,0.639,0.722,0.794,0.838,0.871
439,2020-11-08,0.266,0.347,0.422,0.471,0.523,0.562,0.592,0.649,0.744,0.873,0.947,0.989
435,2020-11-04,0.179,0.258,0.313,0.359,0.392,0.421,0.446,0.474,0.533,0.604,0.666,0.708
431,2020-11-06,0.196,0.296,0.365,0.403,0.443,0.483,0.506,0.529,0.590,0.639,0.684,0.718
430,2020-12-09,0.234,0.357,0.424,0.471,0.512,0.548,0.578,0.602,0.685,0.775,0.845,0.895
424,2020-10-21,0.199,0.279,0.334,0.366,0.402,0.430,0.447,0.465,0.504,0.543,0.580,0.606
383,2020-11-03,0.238,0.316,0.378,0.419,0.452,0.479,0.503,0.525,0.586,0.638,0.673,0.699
380,2020-11-12,0.235,0.340,0.400,0.457,0.499,0.540,0.571,0.595,0.663,0.715,0.768,0.800
355,2020-10-22,0.266,0.355,0.405,0.433,0.462,0.492,0.529,0.565,0.608,0.654,0.684,0.712
