Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 10,Day 14,Day 18,Day 21
38.20%,26.22%,22.84%,19.75%,18.33%,16.90%,16.31%,12.10%,11.03%,8.19%,8.42%
39.85%,28.01%,24.00%,20.90%,17.86%,16.28%,15.86%,11.12%,10.21%,8.99%,8.02%
38.49%,27.30%,21.93%,19.86%,17.79%,18.05%,15.33%,11.32%,11.00%,8.15%,8.21%
35.91%,26.63%,18.96%,18.50%,16.10%,15.09%,14.32%,9.29%,8.90%,7.89%,6.42%
36.59%,23.88%,17.52%,15.16%,14.02%,14.02%,12.55%,8.72%,7.09%,5.46%,5.30%
35.16%,24.55%,16.85%,16.42%,15.14%,13.94%,10.86%,9.75%,8.73%,6.84%,6.76%
31.63%,24.65%,19.88%,17.84%,14.84%,11.93%,10.69%,8.48%,6.80%,6.01%,6.01%
34.13%,24.22%,18.26%,17.06%,15.60%,14.95%,13.85%,11.19%,9.63%,6.61%,6.61%
36.23%,25.07%,22.61%,18.64%,15.70%,13.53%,12.87%,13.62%,7.76%,6.05%,5.87%
33.41%,22.64%,18.89%,15.98%,16.59%,15.01%,13.08%,10.05%,8.72%,6.54%,5.57%
39.64%,28.08%,24.65%,20.71%,18.55%,16.90%,14.74%,12.07%,8.39%,7.50%,7.24%
40.43%,28.26%,24.15%,19.50%,17.35%,15.74%,12.88%,10.73%,10.20%,6.08%,6.80%
45.32%,30.98%,23.90%,22.37%,18.36%,17.02%,17.59%,14.91%,11.66%,10.52%,8.80%
37.88%,26.54%,21.35%,17.31%,15.58%,13.85%,15.00%,11.73%,10.00%,6.35%,6.92%
34.23%,24.48%,20.33%,20.33%,16.18%,15.77%,13.90%,11.83%,8.92%,7.68%,7.47%
39.24%,26.16%,23.21%,21.10%,17.09%,19.20%,15.61%,11.60%,7.59%,6.33%,6.54%
36.45%,23.23%,23.01%,20.73%,17.54%,13.90%,16.40%,12.53%,10.02%,7.52%,8.43%
32.87%,22.76%,18.16%,16.55%,16.32%,15.63%,14.71%,10.11%,5.98%,7.13%,6.21%
